|name|average_rate|nb_of_reviews|address|city|postal_code
138|LA SIRENA|4.5|506|Bd Saint-Germain 73, 75005 Paris|Paris|75005
139|RESPIRO|4.8|524|18 Rue Maître Albert, 75005 Paris|Paris|75005
140|ALIMENTO|4.3|407|9 Rue de Pontoise, 75005 Paris|Paris|75005
141|Casa Di Peppe|4.3|873|222 Rue Saint-Jacques, 75005 Paris|Paris|75005
142|Bibani Pizza|4.8|62|45 Rue Daubenton, 75005 Paris|Paris|75005
143|Pizza Hut|3.6|228|129 Bd Saint-Michel, 75005 Paris|Paris|75005
144|La Solita Taverna|4.1|508|10 Rue du Fouarre, 75005 Paris|Paris|75005
145|Il Gigolo|4.3|1606|11 Rue de la Huchette, 75005 Paris|Paris|75005
146|La Capannina|4.6|697|64 Rue de la Montagne Ste Geneviève, 75005 Paris|Paris|75005
147|Pizzeria Atre3|4.6|116|21 Rue Berthollet, 75005 Paris|Paris|75005
148|Otiamo|4.7|290|32 Rue de Bièvre, 75005 Paris|Paris|75005
149|Tripletta Latin|4.3|274|2 Bis Rue de l'Arbalète, 75005 Paris|Paris|75005
150|La Comedia|4.0|1271|107 Rue Monge, 75005 Paris|Paris|75005
151|Pizzeria le Quartier Latin** nouvelle gérance depuis juin 2022|4.5|603|1 Rue Mouffetard, 75005 Paris|Paris|75005
152|L'Angolo 42|4.5|442|42 Rue Broca, 75005 Paris|Paris|75005
153|"Au Four à Pizza | Pizzas, Chaussons, Vins italiens, PARIS 5ème"|3.8|30|47 Bd Saint-Michel, 75005 Paris|Paris|75005
154|AMALFI|4.8|33|8 Rue Mouffetard, 75005 Paris|Paris|75005
155|I Diavoletti Trattoria|4.4|276|73 Rue Claude Bernard, 75005 Paris|Paris|75005
156|Ricette Ristorante|4.5|237|10 Rue du Cardinal Lemoine, 75005 Paris|Paris|75005
157|Pizzeria Luciana|3.4|98|187 Rue Saint-Jacques, 75005 Paris|Paris|75005
158|Pizza Cosy|4.6|456|56 Bd Saint-Marcel, 75005 Paris|Paris|75005
159|Amarena Ristorante|3.8|25|88 Rue Mouffetard, 75005 Paris|Paris|75005
160|Pepe Pizza|3.3|105|34 Rue Mouffetard, 75005 Paris|Paris|75005
161|Pasta e Fagioli|4.2|363|82 Rue Claude Bernard, 75005 Paris|Paris|75005
162|PEPITA|4.7|457|88 Bd Saint-Germain, 75005 Paris|Paris|75005
163|VITA NUOVA|4.5|47|17 Rue du Val de Grâce, 75005 Paris|Paris|75005
164|Sacha Pizza|4.5|2|42 Rue Daubenton, 75005 Paris|Paris|75005
165|Prosciutteria Paris - By Forno Gusto|4.6|165|61 Quai de la Tournelle, 75005 Paris|Paris|75005
166|SoHo Trattoria|4.2|1003|33 Rue Saint-Jacques, 75005 Paris|Paris|75005
168|Panuozzo|5.0|1|11 Rue Cujas, 75005 Paris|Paris|75005
170|Rim Café|3.8|379|38 Rue Saint-Séverin, 75005 Paris|Paris|75005
171|Restaurant Oulala Paris Halal|4.4|1235|20 Rue Mouffetard, 75005 Paris|Paris|75005
172|Domino's Pizza Paris 5|3.2|264|40 Bd Saint-Marcel, 75005 Paris|Paris|75005
173|Loriana|3.2|21|11 Rue Xavier Privas, 75005 Paris|Paris|75005
174|Ristorante Italiano|3.6|66|Rue Saint-Séverin, 75005 Paris|Paris|75005
175|Cardinal|3.8|17|1 Pl. de la Contrescarpe, 75005 Paris|Paris|75005
176|Les Balkans|2.5|82|3 Rue de la Harpe, 75005 Paris|Paris|75005
177|Five Pizza Original|4.3|858|32 Bd Saint-Michel, 75006 Paris|Paris|75006
178|BELLA CIAO|4.4|47|14 bis Bd de l'Hôpital, 75005 Paris|Paris|75005
179|Casimodo|3.0|28|71 Quai de la Tournelle, 75005 Paris|Paris|75005
180|Pizza Odessa Montparnasse|4.4|49|10 Rue d'Odessa, 75014 Paris|Paris|75014
181|Ristorante Del Arte|3.7|1464|20 Bd Saint-Michel, 75006 Paris|Paris|75006
182|CANTINELLA|4.6|524|30 Rue du Faubourg Saint-Jacques, 75014 Paris|Paris|75014
183|Pizza Delambre|4.7|131|28 Rue Delambre, 75014 Paris|Paris|75014
184|FAMOUS SLICE New York style pizza|4.6|104|6 Rue d'Odessa, 75014 Paris|Paris|75014
185|Da Pietro Pizzeria|4.3|425|12 Rue Mabillon, 75006 Paris|Paris|75006
187|LE ROYAL|4.2|337|90 Bd de Port-Royal, 75005 Paris|Paris|75005
188|Mkd Fooding|4.0|4|101 Bd Saint-Michel, 75005 Paris|Paris|75005
189|Pizzeria Pepone|3.8|277|3 Rue Grégoire de Tours, 75006 Paris|Paris|75006
190|OGGI|4.2|308|15 Rue d'Odessa, 75014 Paris|Paris|75014
191|Mamma Presto|4.8|60|142 Bd Saint-Germain, 75006 Paris|Paris|75006
192|Pizzeria Positano|4.4|396|15 Rue des Canettes, 75006 Paris|Paris|75006
193|Le Paradiso|4.2|199|81, rue Saint-Louis en L'Ile, 75004 Paris|Paris|75004
194|Café Leone Pizzas et Pâtes|4.6|178|5 Rue d'Arcole, 75004 Paris|Paris|75004
195|AGATA|4.8|321|168 Bd Saint-Germain, 75006 Paris|Paris|75006
196|Pizza Vesuvio - St Germain des Prés|4.0|1088|1 Rue Gozlin, 75006 Paris|Paris|75006
197|Restaurant Chez Bartolo|4.1|570|7 Rue des Canettes, 75006 Paris|Paris|75006
198|Pizza di Gio|4.5|48|48 Rue du Cherche-Midi, 75006 Paris|Paris|75006
200|Trattoria César|4.2|883|81 Bd Saint-Marcel, 75013 Paris|Paris|75013
201|Il Forno Di Napoli|4.4|1093|162 Bd du Montparnasse, 75014 Paris|Paris|75014
202|Pizza Marinara|4.3|104|46 Rue Dauphine, 75006 Paris|Paris|75006
203|Genio Osteria|4.1|33|79 Bd Raspail, 75006 Paris|Paris|75006
204|Le Bistro Italien|3.0|66|1 Pl. de la Contrescarpe, 75005 Paris|Paris|75005
205|Inizio|4.8|146|41 Rue du Montparnasse, 75014 Paris|Paris|75014
206|La piazzetta|4.3|137|1 Rue Bréa, 75006 Paris|Paris|75006
208|Tripletta Gaité|4.3|977|1 Imp. de la Gaité, 75014 Paris|Paris|75014
209|Pizza Cordial|4.1|68|39 Rue Pascal, 75013 Paris|Paris|75013
210|Pizza Del Navona|4.1|626|60 Av. des Gobelins, 75013 Paris|Paris|75013
211|Pizzamore Paris|4.6|478|121 Av. du Maine, 75014 Paris|Paris|75014
212|La Mamma|4.2|299|46 Rue Vavin, 75006 Paris|Paris|75006
213|Marzo|4.3|541|5 Rue Paul-Louis Courier, 75007 Paris|Paris|75007
214|L'isolotto|4.4|650|25 Rue Saint-André des Arts, 75006 Paris|Paris|75006
215|Pizza Girl|4.4|145|132 Rue de Vaugirard, 75006 Paris|Paris|75006
216|Pazzo pasta et pizza en ville|3.9|35|20 Rue du Dragon, 75006 Paris|Paris|75006
217|Mamma Roma Cherche-Midi|4.1|353|55 Rue du Cherche-Midi, 75006 Paris|Paris|75006
218|Pinocchio|4.3|1823|19 Bd Edgar Quinet, 75014 Paris|Paris|75014
219|Bonvivant|4.3|1143|7 Rue des Écoles, 75005 Paris|Paris|75005
220|Delfino|4.2|516|Place Pinel, 1 Rue de Campo-Formio, 75013 Paris|Paris|75013
222|Il Barone|4.5|258|5 Rue Léopold Robert, 75014 Paris|Paris|75014
224|Cucina Mutualité|4.1|300|20 Rue Saint-Victor, 75005 Paris|Paris|75005
225|Pizza e Fichi|4.1|162|7 Rue de la Cerisaie, 75004 Paris|Paris|75004
228|Girasole Due|4.5|347|69 Rue de Croulebarbe, 75013 Paris|Paris|75013
230|AVE Pizza Romana|4.6|451|90 Rue de la Folie Méricourt, 75011 Paris|Paris|75011
231|Basilic & Co|4.6|168|58 Bd Voltaire, 75011 Paris|Paris|75011
232|Sonny’s pizza|4.6|272|5 Rue de la Fontaine au Roi, 75011 Paris|Paris|75011
233|Pizza Pino|3.6|1115|4 Pl. de la République, 75011 Paris|Paris|75011
234|Casa Vina|4.4|105|6 Rue Rampon, 75011 Paris|Paris|75011
235|Pizza 67|4.6|128|67 Bd Voltaire, 75011 Paris|Paris|75011
236|Nolita's Pizza|4.4|139|22 Rue du Faubourg du Temple, 75011 Paris|Paris|75011
237|ARTISANAL PIZZA|4.8|242|99 Rue Oberkampf, 75011 Paris|Paris|75011
238|La Gondola|4.3|341|35 Rue Oberkampf, 75011 Paris|Paris|75011
239|Pizzeria Arlecchino|4.4|139|40 Rue Oberkampf, 75011 Paris|Paris|75011
240|Il Seguito|4.4|542|56 Bd Beaumarchais, 75011 Paris|Paris|75011
241|Pizza house Paris 11|4.7|100|4 Rue Des Trois Couronnes, 75011 Paris|Paris|75011
242|Dai Dai|4.4|546|25 Rue Oberkampf, 75011 Paris|Paris|75011
243|Five Pizza Original - Paris 11 - Oberkampf|4.5|459|122 Rue Oberkampf, 75011 Paris|Paris|75011
244|Pizza Center Milano|4.4|276|36 Rue de l'Orillon, 75011 Paris|Paris|75011
245|Verace Bastille|4.8|232|10 Rue St Sabin, 75011 Paris|Paris|75011
246|Nove|4.4|860|7 Rue de Charonne, 75011 Paris|Paris|75011
247|Ober Mamma|4.5|6504|107 Bd Richard-Lenoir, 75011 Paris|Paris|75011
248|Five Pizza Original - Paris 10 - République|4.6|597|26 Rue du Faubourg du Temple, 75010 Paris|Paris|75010
249|Pizza Mamma Paris|4.7|100|31 Rue Pétion, 75011 Paris|Paris|75011
250|Oxymore|4.7|1710|60 Rue Saint-Maur, 75011 Paris|Paris|75011
251|Da Vito|4.5|320|5 Rue Sedaine, 75011 Paris|Paris|75011
252|La Cerise sur la Pizza - Belleville|4.4|279|96 Rue Jean-Pierre Timbaud, 75011 Paris|Paris|75011
253|Pizza santa Lucia|3.8|168|16 R. Bréguet, 75011 Paris|Paris|75011
254|Terre Rosse pizzeria|4.7|281|14 Rue des Goncourt, 75011 Paris|Paris|75011
255|Louie Louie|4.5|1091|78 Rue de Charonne, 75011 Paris|Paris|75011
256|Rivoluzione|4.4|487|24 Rue des Taillandiers, 75011 Paris|Paris|75011
257|Pizza Mario|4.1|174|19 Av. de la République, 75011 Paris|Paris|75011
258|La Pizza de Nico Paris Bastille|4.6|138|2 Bd Richard-Lenoir, 75011 Paris|Paris|75011
259|Amici Miei|4.4|575|44 Rue St Sabin, 75011 Paris|Paris|75011
260|Ammazza|4.4|637|5 Rue St Sabin, 75011 Paris|Paris|75011
261|La Petite Venise.|4.4|377|92 Rue du Chemin Vert, 75011 Paris|Paris|75011
262|Pizza Di Roma|3.9|14|129 Rue Amelot, 75011 Paris|Paris|75011
263|Restaurant Italien Arlecchino|4.3|458|42 Av. de la République, 75011 Paris|Paris|75011
264|Domino's Pizza Paris 13 - BNF|4.2|131|40 Rue de Tolbiac, 75013 Paris|Paris|75013
266|La Piola Sciacatra Pizzeria Trattoria|4.6|254|43 Rue de Tolbiac, 75013 Paris|Paris|75013
267|L'ATELIER PIZZA|4.8|116|4 Rue Jeanne d'Arc, 75013 Paris|Paris|75013
268|Piacere pizza|4.3|367|81 Rue Bobillot, 75013 Paris|Paris|75013
269|Chez Gino - Pizza Feu de Bois|4.2|928|80 Rue Dunois, 75013 Paris|Paris|75013
270|Le comptoir à pizza|3.8|162|102 Av. d'Italie, 75013 Paris|Paris|75013
271|Pizza Cinq Diamants|4.3|126|54 Rue des cinq Diamants, 75013 Paris|Paris|75013
272|Casa Angeli|4.7|193|27 Bd Auguste Blanqui, 75013 Paris|Paris|75013
273|Andiamo Pizza|4.3|102|113 Rue du Dessous des Berges, 75013 Paris|Paris|75013
274|Woodiz Paris 13ème|4.2|42|124 Bd Vincent Auriol, 75013 Paris|Paris|75013
275|Pizza Hut|3.8|436|Bd Auguste Blanqui 41, 75013 Paris|Paris|75013
276|Pizzeria del Gladiatore Subito|4.1|216|37 Rue Dunois, 75013 Paris|Paris|75013
277|Pizza Pronto|4.3|64|14 Bd Kellermann, 75013 Paris|Paris|75013
278|Pizza Mamma|4.3|85|7 Rue Henri Pape, 75013 Paris|Paris|75013
280|Pizza Italie 2 paris|4.5|115|7 Av. d'Italie, 75013 Paris|Paris|75013
281|Domino's Pizza Paris 13 - Tolbiac|2.6|297|201 Rue de Tolbiac, 75013 Paris|Paris|75013
282|Molto Gusto|3.8|384|111 Rue du Chevaleret, 75013 Paris|Paris|75013
283|Venezia Pizzéria|4.4|282|66 bis Rue Albert, 75013 Paris|Paris|75013
284|Soyouz|4.5|345|11 Rue de l'Espérance, 75013 Paris|Paris|75013
285|FABBREZZA|4.7|396|45 Rue des cinq Diamants, 75013 Paris|Paris|75013
286|Il Fenomenale Pizzeria napolitaine|4.4|184|16 Bd Vincent Auriol, 75013 Paris|Paris|75013
287|La Terrasse d'Italie|4.0|621|21 Av. d'Italie, 75013 Paris|Paris|75013
288|Apollonia|4.2|121|9 Rue Jean Marie Jego, 75013 Paris|Paris|75013
289|Le San Giovani|4.1|214|236 Rue de Tolbiac, 75013 Paris|Paris|75013
290|Bon Gusto|4.7|74|55 Rue Barrault, 75013 Paris|Paris|75013
291|Pizza Hut|3.0|425|33 Rue de Tolbiac, 75013 Paris|Paris|75013
292|Ti Amo Pizza|4.8|39|169 Rue de Tolbiac, 75013 Paris|Paris|75013
293|Nieli|4.2|426|17/19 Rue Louise Weiss, 75013 Paris|Paris|75013
294|LE CONVIVIAL|4.5|104|137 Bd Auguste Blanqui, 75013 Paris|Paris|75013
295|Tra Amici|4.2|154|110 Rue Léon-Maurice Nordmann, 75013 Paris|Paris|75013
296|OTTO|4.8|132|53 bis Bd Arago, 75013 Paris|Paris|75013
297|La Felicità|4.4|15166|5 Parv. Alan Turing, 75013 Paris|Paris|75013
298|Chez Filiberto|4.5|144|59 Rue de Boulainvilliers, 75016 Paris|Paris|75016
299|Pulcinella paris 16|4.6|115|4 Av. Bugeaud, 75016 Paris|Paris|75016
300|Chez ma Poule|4.7|100|7 Rue Gros, 75016 Paris|Paris|75016
301|LE 38 PIZZA|4.5|83|38 Rue du Dr Blanche, 75016 Paris|Paris|75016
302|Domino's Pizza Paris 16 Sud|4.1|508|1 Rue Bosio, 75016 Paris|Paris|75016
303|La Pizzeria d'Auteuil|4.1|683|81 Rue Jean de la Fontaine, 75016 Paris|Paris|75016
304|Non Solo Pizze|4.5|440|5 Rue Mesnil, 75016 Paris|Paris|75016
305|Pizza Mario|4.3|161|116 Rue Lauriston, 75116 Paris|Paris|75016
307|Speed Rabbit Pizza Paris 16|3.9|215|167 Av. de Versailles, 75016 Paris|Paris|75016
308|Pop's|4.7|723|38 Rue du Ranelagh, 75016 Paris|Paris|75016
309|Pizzeria La Matta|4.3|305|23 Rue de l'Annonciation, 75016 Paris|Paris|75016
310|Anita|4.5|362|182 Quai Louis Blériot, 75016 Paris|Paris|75016
311|Forno Gusto Paris - Big Forno Group|4.4|187|43 Rue de Chaillot, 75116 Paris|Paris|75016
312|La Cantina|4.4|648|11 Rue Claude Terrasse, 75016 Paris|Paris|75016
314|Daroco 16|4.2|667|3 Pl. Clément Ader, 75016 Paris|Paris|75016
315|Nonna|4.6|59|20 Rue Mirabeau, 75016 Paris|Paris|75016
316|RAGAZZI|4.2|291|83 Rue de Longchamp, 75116 Paris|Paris|75016
317|Marcello by Venice|4.2|305|10 Bd Delessert, 75016 Paris|Paris|75016
318|Pizza Hut|3.9|188|5 Rue de l'Annonciation, 75016 Paris|Paris|75016
319|PIZZA EXELMANS|4.1|130|32 Boulevard Exelmans, 75016 Paris|Paris|75016
320|Pizza Hut|3.6|564|55 Rue Lauriston, 75016 Paris|Paris|75016
321|Domino's Pizza Paris 16 Nord|3.2|261|50 Rue Desbordes-Valmore, 75116 Paris|Paris|75016
322|Il Cottage|3.8|718|1 Bd Lannes, 75116 Paris|Paris|75016
323|MARZO Rive Droite|4.6|308|84 Rue Lauriston, 75116 Paris|Paris|75016
324|Da Moli|4.2|330|15 Rue Molitor, 75016 Paris|Paris|75016
325|Pizza Hut|3.1|197|45 Rue Jean de la Fontaine, 75016 Paris|Paris|75016
326|Il monello caffè|4.7|64|3 Av. Théophile Gautier, 75016 Paris|Paris|75016
327|Mokus l'Écureuil|4.3|3267|116 Av. Kléber, 75016 Paris|Paris|75016
328|Woodiz Paris 16ème|3.0|116|139 Av. de Versailles, 75016 Paris|Paris|75016
329|Nello Ristorante|4.6|181|16 bis Rue Dufrenoy, 75016 Paris|Paris|75016
330|IL FARNIENTE|4.4|623|59 Rue Jean de la Fontaine, 75016 Paris|Paris|75016
331|Restaurant Villa Murat, pizzeria|4.4|208|131 Bd Murat, 75016 Paris|Paris|75016
332|Lucia Pasta & Pizza|4.7|147|19 Rue Gustave Courbet, 75116 Paris|Paris|75016
333|Piccola Roma|4.5|213|10 Rue Saint-Didier, 75116 Paris|Paris|75016
334|Speed Rabbit Pizza Paris 16 Kléber|3.2|104|69 Av. Kléber, 75016 Paris|Paris|75016
335|Da Alberto|4.3|150|5 Rue Isabey, 75016 Paris|Paris|75016
336|IL PADRINO PIZZA|4.0|42|31 Boulevard Exelmans, 75016 Paris|Paris|75016
337|Giallo Oro|4.5|207|90bis Av. de Versailles, 75016 Paris|Paris|75016
338|Sorella|4.2|316|13 Av. Bugeaud, 75016 Paris|Paris|75016
339|Ozio|4.2|1031|29bis Rue Saint-Didier, 75116 Paris|Paris|75016
340|Pasta Oro|4.4|372|144 Av. de Versailles, 75016 Paris|Paris|75016
341|Alba Ristorante|4.4|467|12 Av. Mozart, 75016 Paris|Paris|75016
342|Alfredo Positano|4.3|138|7 bis Rue de Boulainvilliers, 75016 Paris|Paris|75016
343|Allo Pizza Paris|3.0|2|96 Rue de la Faisanderie, 75016 Paris|Paris|75016
344|VILLA SOPHIA|4.1|760|53 Rue de Chaillot, 75116 Paris|Paris|75016
345|Del Papa|3.8|479|135 Av. de Malakoff, 75016 Paris|Paris|75016
346|Ciro Bistro Italiano|4.0|382|43 Rue de la Pompe, 75116 Paris|Paris|75016
347|Giulio Rebellato|4.1|344|136 Rue de la Pompe, 75116 Paris|Paris|75016
348|Il Conte|4.0|495|47 Av. Raymond Poincaré, 75016 Paris|Paris|75016
349|Tayim|4.5|275|9 Rue Gustave Zédé, 75016 Paris|Paris|75016
350|"SGABETTI | Meilleur Restaurant Italien Paris | Restaurant Italien Paris"|4.4|410|15 Rue des Sablons, 75016 Paris|Paris|75016
351|Ristorante Dino|4.2|289|8 Chau. de la Muette, 75016 Paris|Paris|75016
352|Trattoria Italiana Venise|4.1|185|117 Bd Murat, 75016 Paris|Paris|75016
353|Da Enzo|4.3|265|129 Rue de la Tour, 75116 Paris|Paris|75016
354|Le Jardin|4.2|344|30 Av. de Versailles, 75016 Paris|Paris|75016
355|Restaurant Balilli|4.5|301|15 Rue Goethe, 75016 Paris|Paris|75016
356|Madison Caffe|4.2|1385|10 Chau. de la Muette, 75116 Paris|Paris|75016
357|Settebello|4.7|161|9 Rue Duban, 75016 Paris|Paris|75016
358|Pizzeria Tradition|2.0|8|52 Rue Saint-Didier, 75016 Paris|Paris|75016
359|Non Solo Cucina|4.4|216|135 Rue du Ranelagh, 75016 Paris|Paris|75016
360|Al Piccolo|4.2|160|34 Rue Duret, 75116 Paris|Paris|75016
361|Studio 117|4.2|75|117 Av. Mozart, 75016 Paris|Paris|75016
362|Restaurant le Vinci|4.6|90|23 Rue Paul Valéry, 75116 Paris|Paris|75016
363|Restaurant Iannello|4.5|215|17 Boulevard Exelmans, 75016 Paris|Paris|75016
364|La Terrasse|4.3|291|5 Pl. de Barcelone, 75016 Paris|Paris|75016
365|Pizza Del Capo|1.5|8|40 Rue de la Tour, 75016 Paris|Paris|75016
366|Prego-S|4.0|2|26 Av. Pierre 1er de Serbie, 75016 Paris|Paris|75016
367|Auteuil Brasserie|3.8|3696|78 Rue d'Auteuil, 75016 Paris|Paris|75016
368|La Villa K|4.3|311|14 Rue Gustave Courbet, 75116 Paris|Paris|75016
369|CAMPISI gastronomie traiteur|4.5|128|Angle rue de Boulanvilliers, 1 Rue des Bauches, 75016 Paris|Paris|75016
370|Romeo - Bar & Grill|4.0|870|6 Pl. Victor Hugo, 75116 Paris|Paris|75016
371|Pane e Olio Taverna|4.1|200|117 Av. Mozart, 75016 Paris|Paris|75016
372|Di Vino|3.4|369|1 Pl. de Mexico, 75016 Paris|Paris|75016
373|Fuxia|3.9|345|91 Av. Raymond Poincaré, 75016 Paris|Paris|75016
374|olive & balsamic|4.2|78|35 Rue Duret, 75016 Paris|Paris|75016
375|LE BUFFET D'AUTEUIL|4.0|111|75 Rue d'Auteuil, 75016 Paris|Paris|75016
376|Chez Nelly|4.8|82|39 Rue Jean de la Fontaine, 75016 Paris|Paris|75016
377|Salumeria Caprese|4.2|33|65 Rue Lauriston, 75016 Paris|Paris|75016
378|Romantica Caffé|4.0|126|7 Rue Lauriston, 75016 Paris|Paris|75016
379|Chez Achille|4.9|175|137 Av. de Versailles, 75016 Paris|Paris|75016
380|Bistrot 31|4.6|678|31 Av. Théophile Gautier, 75016 Paris|Paris|75016
381|MANJE & CO|4.0|113|73 Av. Kléber, 75116 Paris|Paris|75016
382|Au Relais Chardon|4.3|145|81 Rue Chardon Lagache, 75016 Paris|Paris|75016
383|Pizza Pizze|4.3|159|12 Rue des Acacias, 75017 Paris|Paris|75017
384|CHEZ TONY bistrot français PARIS 16 La Muette|4.6|250|34 Rue Bois le Vent, 75016 Paris|Paris|75016
385|Au Bon Accueil|4.2|68|12 Rue de Longchamp, 75016 Paris|Paris|75016
386|Le 32|3.8|187|32 Rue des Belles Feuilles, 75116 Paris|Paris|75016
387|Chez Liqi|4.9|21|33 Rue Chanez, 75016 Paris|Paris|75016
388|chez carlo|3.9|16|56 Rue de la Pompe, 75016 Paris|Paris|75016
389|New Delice's|4.0|434|135 Rue Michel Ange, 75116 Paris|Paris|75016
390|Pizzeria San Marino|4.5|98|8 Rue Lakanal, 75015 Paris|Paris|75015
391|Dom's|4.2|130|33 Rue de l'Annonciation, 75016 Paris|Paris|75016
392|Doner king|3.9|571|54 Av. Mozart, 75016 Paris|Paris|75016
393|Da Piero Pizza & Pasta|4.5|320|59 Av. de Suffren, 75007 Paris|Paris|75007
394|La Brasserie Italienne|3.7|184|73 Av. Kléber, 75116 Paris|Paris|75016
395|Restaurant Le Moulin d'Auteuil|3.8|215|75 bis Rue d'Auteuil, 75016 Paris|Paris|75016
396|Le repère Gourmand|3.7|110|31 Bd Murat, 75016 Paris|Paris|75016
397|L'entrepôt|4.8|19|50 Rue de Passy, 75016 Paris|Paris|75016
398|CAFE 55|4.4|95|55 Av. de la Grande Armée, 75116 Paris|Paris|75016
399|RICCI Eiffel|4.3|388|73 Av. Bosquet, 75007 Paris|Paris|75007
400|La pizza|4.6|100|268 Rue Lecourbe, 75015 Paris|Paris|75015
401|Giovanni Boulangerie Contemporaine|4.3|141|49 Rue Chardon Lagache, 75016 Paris|Paris|75016
403|Bambini Paris|3.1|831|Palais De Tokyo, 13 Av. du Président Wilson, 75116 Paris|Paris|75016
404|La Pasta 3|4.0|24|59 Av. Mozart, 75016 Paris|Paris|75016
405|Pizza sur Seine|3.8|85|Port de Beaugrenelle, 75015 Paris|Paris|75015
406|Andiamo Pizza|3.6|110|50 Rue de la Croix Nivert, 75015 Paris|Paris|75015
407|Da Lucia|4.6|226|281 Rue Lecourbe, 75015 Paris|Paris|75015
408|Aux Trois Obus|3.7|953|120 Rue Michel Ange, 75016 Paris|Paris|75016
409|Villa Auteuil BOULOGNE|3.5|4|1er à gauche, Rte de Boulogne à Passy, 75016 Paris|Paris|75016
410|Five Pizza Original - Paris 15 - St Charles|4.0|450|94 Rue St Charles, 75015 Paris|Paris|75015
412|Versailles Food|3.8|113|4 Rue Degas, 75016 Paris|Paris|75016
413|Ragazzi|4.2|534|2 Rue Guénot, 75011 Paris|Paris|75011
414|Alice Pizza - Paris 17|3.8|310|57 Rue des Dames, 75017 Paris|Paris|75017
415|Domino's Pizza Paris 17 - Batignolles|3.8|451|58 Rue Legendre, 75017 Paris|Paris|75017
416|Gustino Pizza|4.7|467|159 Rue Legendre, 75017 Paris|Paris|75017
417|Pizzeria - Via Roma|4.8|242|56 Rue des Dames, 75017 Paris|Paris|75017
