|name|average_rate|nb_of_reviews|address|city|postal_code
491|Popine Ménilmontant|4.3|1270|108 Bd de Ménilmontant, 75020 Paris|Paris|75020
492|il parigino|4.7|90|6 Rue Sorbier, 75020 Paris|Paris|75020
493|Del Totorino|4.7|616|36 Rue de Bagnolet, 75020 Paris|Paris|75020
494|Ristorante Prima|4.4|237|68 Av. Gambetta, 75020 Paris|Paris|75020
495|MA PIZZA|4.4|16|34 Rue du Surmelin, 75020 Paris|Paris|75020
496|Méli Mellow|4.8|233|55 bis Rue de Bagnolet, 75020 Paris|Paris|75020
497|Il Pinocchio|4.3|410|115 Av. Gambetta, 75020 Paris|Paris|75020
498|Popinette|4.1|88|7 Rue Etienne Dolet, 75020 Paris|Paris|75020
499|L'atelier du Kebab|4.4|178|119 Rue Pelleport, 75020 Paris|Paris|75020
501|Chicken time|3.8|149|114 Bd Davout, 75020 Paris|Paris|75020
502|Cappuccino Ristorante|4.3|67|33 Rue de Tlemcen, 75020 Paris|Paris|75020
503|L'Escale De L'Auberge.|4.0|93|178 Rue de Bagnolet, 75020 Paris|Paris|75020
504|Coups de Cœur|4.4|55|1 Rue du Retrait, 75020 Paris|Paris|75020
505|PIZZA PARIS GOURMAND|2.7|9|11 Av. Gambetta, 75020 Paris|Paris|75020
506|Mamagaya Pizza|4.1|72|74 Rue Jean-Pierre Timbaud, 75011 Paris|Paris|75011
507|Le Lelek Café|4.4|132|2 Bd de Ménilmontant, 75020 Paris|Paris|75020
508|Le53 Paris|3.8|32|53 Rue de Bagnolet, 75020 Paris|Paris|75020
509|Pizza house Paris 11|4.7|101|4 Rue Des Trois Couronnes, 75011 Paris|Paris|75011
510|Chicken Rapido|3.5|29|164 Bd Mortier, 75020 Paris|Paris|75020
511|Pizzeria Palermo|5.0|3|35 Rue Pelleport, 75020 Paris|Paris|75020
512|Pizza Mamma Paris|4.7|99|31 Rue Pétion, 75011 Paris|Paris|75011
516|The Best Chicken|3.9|22|127 Rue Pelleport, 75020 Paris|Paris|75020
517|Pizza Milano - chez Samy|4.3|52|9 Rue Guillaume Bertrand, 75011 Paris|Paris|75011
518|La Belle Pizze|4.3|32|349 Rue de Belleville, 75019 Paris|Paris|75019
520|Lauretta|4.1|178|48 Bd de la Villette, 75019 Paris|Paris|75019
521|Clip Pizza|5.0|1|178 Rue de Belleville, 75020 Paris|Paris|75020
522|Croq Pizza|4.3|108|24 Rue Godefroy Cavaignac, 75011 Paris|Paris|75011
523|Antioche|4.9|16|2 Rue de la Réunion, 75020 Paris|Paris|75020
524|IL SANTO|4.3|123|78 Av. du Dr Arnold Netter, 75012 Paris|Paris|75012
525|Semina|4.6|46|152 Rue de Charonne, 75011 Paris|Paris|75011
527|Lim Siu Hung|4.9|16|95 Rue Orfila, 75020 Paris|Paris|75020
529|McDonald's|3.6|2348|Place Gambetta, 7 Face Mairie du, 75020 Paris|Paris|75020
530|RFC Chicken - Pizza|3.8|46|59 Av. Philippe Auguste, 75011 Paris|Paris|75011
531|Le Relais des Pyrénées|4.2|83|256 Rue des Pyrénées, 75020 Paris|Paris|75020
532|LA BOÎTE A PIZZA Paris 12 Courteline|4.1|186|2 Av. Courteline, 75012 Paris|Paris|75012
533|Coin Sud|4.3|90|9 Av. Simon Bolivar, 75019 Paris|Paris|75019
534|Pizza 30 Paris|3.3|30|50 Rue Godefroy Cavaignac, 75011 Paris|Paris|75011
535|Casa Pizza|4.8|299|35 Av. Duquesne, 75007 Paris|Paris|75007
536|Popu Bistro à Pizza|4.8|676|12 Rue du Champ de Mars, 75007 Paris|Paris|75007
537|Pizza Hut|3.8|321|22bis Rue Jean Nicot, 75007 Paris|Paris|75007
538|Sonata Pizzeria Invalides|4.5|315|56 Bd de la Tour-Maubourg, 75007 Paris|Paris|75007
539|I PUPI|4.4|209|21 Rue Malar, 75007 Paris|Paris|75007
540|Domino's Pizza Paris 7|3.4|373|65 Rue Saint-Dominique, 75007 Paris|Paris|75007
541|Gusto Italia 218|4.3|1362|218 Rue de Grenelle, 75007 Paris|Paris|75007
542|Chez Pippo|4.6|2045|31 Av. de la Bourdonnais, 75007 Paris|Paris|75007
543|GIOCO Paris 7e|4.5|354|25 Av. de Ségur, 75007 Paris|Paris|75007
544|Casa pizza|4.4|19|26 Rue Malar, 75007 Paris|Paris|75007
546|CIAO RAGAZZI|4.8|27|22 B Rue Jean Nicot, 75007 Paris|Paris|75007
547|Alfio|4.3|804|43 Av. de la Bourdonnais, 75007 Paris|Paris|75007
548|Restaurant italien la gourmandise|4.5|155|28 Rue Augereau, 75007 Paris|Paris|75007
549|RICCI Eiffel|4.3|390|73 Av. Bosquet, 75007 Paris|Paris|75007
550|Bombona|4.3|134|8 Rue d'Estrées, 75007 Paris|Paris|75007
551|Di Felice|4.4|147|157 Rue de Grenelle, 75007 Paris|Paris|75007
552|Gusto Italia|4.2|465|11 Rue Amélie, 75007 Paris|Paris|75007
553|Al Dente|4.2|144|38 Rue de Varenne, 75007 Paris|Paris|75007
554|Trattoria Dell'Angelo|4.0|1391|6 Av. Rapp, 75007 Paris|Paris|75007
555|Giacomo by Gusto Italia|4.3|142|201 Rue de Grenelle, 75007 Paris|Paris|75007
556|Le Den|4.1|209|167 rue de Grenelle 70007, 75007 Paris|Paris|75007
557|Pizzeria da davide|4.8|8|197 Rue de Grenelle, 75007 Paris|Paris|75007
558|Da Piero Pizza & Pasta|4.5|321|59 Av. de Suffren, 75007 Paris|Paris|75007
559|Gemini|4.1|476|83 Rue Vaneau, 75007 Paris|Paris|75007
560|Capriccio Sorrentino|4.3|555|26 Rue de Monttessuy, 75007 Paris|Paris|75007
561|Casa Cristo|4.5|131|20 Rue Pierre Leroux, 75007 Paris|Paris|75007
562|La Piccolina|3.7|821|31 Av. de la Bourdonnais, 75007 Paris|Paris|75007
563|Gloria|4.5|711|108 Rue Saint-Dominique, 75007 Paris|Paris|75007
564|Carmine Café|4.2|1330|73 Av. de Suffren, 75007 Paris|Paris|75007
565|Angelo Pizzeria|4.5|53|197 Rue de Grenelle, 75007 Paris|Paris|75007
566|Ô Soleil De Naples|4.1|147|56 Rue de Babylone, 75007 Paris|Paris|75007
567|La Scala|3.5|55|5 Rue Paul-Louis Courier, 75007 Paris|Paris|75007
568|Il Grigio|4.2|756|147 Rue Saint-Dominique, 75007 Paris|Paris|75007
569|Su Misura|4.3|117|22 bis Av. Rapp, 75007 Paris|Paris|75007
570|Via Del Campo|4.7|216|22 Rue du Champ de Mars, 75007 Paris|Paris|75007
571|La Commanderie Paris|4.0|318|39 Av. de la Motte-Picquet, 75007 Paris|Paris|75007
572|Toscana|4.1|15|11 Rue Amélie, 75007 Paris|Paris|75007
573|Veramente|4.4|164|2 Rue Sedillot, 75007 Paris|Paris|75007
574|Casa Di Mario|4.6|304|132 Rue du Bac, 75007 Paris|Paris|75007
575|Il Sorrentino|4.4|660|4 Rue de Monttessuy, 75007 Paris|Paris|75007
576|Tavola de Leden|3.3|33|24 Rue Surcouf, 75007 Paris|Paris|75007
577|Da Rocco|4.6|292|119 Rue de Grenelle, 75007 Paris|Paris|75007
578|Casa Germain|4.2|138|83 Rue de l'Université, 75007 Paris|Paris|75007
579|Restaurant Sapori di Parma|4.6|457|56 Av. de la Bourdonnais, 75007 Paris|Paris|75007
580|Dafu|5.0|2|22bis Rue Jean Nicot, 75007 Paris|Paris|75007
581|Central Park Terrazza|4.4|908|3 Pl. de Breteuil, 75007 Paris|Paris|75007
582|Tribeca|4.0|922|36 Rue Cler, 75007 Paris|Paris|75007
583|Seven Food|3.7|158|196 Rue de Grenelle, 75007 Paris|Paris|75007
584|TOUR FOOD|3.9|588|24 Av. de Tourville, 75007 Paris|Paris|75007
585|Piero|4.4|128|44 Rue du Bac, 75007 Paris|Paris|75007
586|Epoca|4.5|680|17 Rue Oudinot, 75007 Paris|Paris|75007
587|Costa d'Amalfi|4.4|254|65 Rue de l'Université, 75007 Paris|Paris|75007
588|Société Evangelista|3.0|157|10 Rue de Bellechasse, 75007 Paris|Paris|75007
589|Caffé Toscano|4.3|117|34 Rue des Saints-Pères, 75007 Paris|Paris|75007
590|Le Sept Quinze|4.3|236|29 Av. de Lowendal, 75015 Paris|Paris|75015
591|Romantica caffe|3.9|416|96 Bd de la Tour-Maubourg, 75007 Paris|Paris|75007
592|15-12|1.5|6|6 Av. Rapp, 75007 Paris|Paris|75007
593|Nicole's|4.0|426|14 Rue de Bellechasse, 75007 Paris|Paris|75007
594|Pizza Fiorentina|3.0|571|7 Bd de Grenelle, 75015 Paris|Paris|75015
595|Primo Piano|3.9|45|Le Bon Marché, 24 Rue de Sèvres, 75007 Paris|Paris|75007
596|Firmine|4.1|2580|38B Av. de Suffren, 75015 Paris|Paris|75015
